OGF_ID,AIRPORT_TYPE,STATUS,NAME,OWNER,AIRPORT_IDENT,LATITUDE,LONGITUDE,ELEVATION,NUMBER_OF_PAVED_RUNWAYS,NUMBER_OF_UNPAVED_RUNWAYS,LGTH_LONGEST_DAYTIME_RUNWAY,LGTH_LONGEST_NIGHTTIME_RUNWAY,CONTROL_TOWER_IND,INSTRUMENT_FLIGHT_RULES_IND,VISUAL_FLIGHT_RULES_IND,AIRPORT_LIGHTING,AIRPORT_AREA_HA,COMMENTS,SOURCE_DETAIL,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
73162595,Airport,Unknown,Elmira (East),<Null>,CPG4,43.5943156,80.5118456,1150,0,0,0,0,,,,,11.225,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,1,0,0
73162596,Airport,Unknown,Elmira,<Null>,CNT6,43.5845378,80.6021075,1250,0,0,0,0,,,,,13.727,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,2,0,0
73162597,Airport,Unknown,Sandy Lake,<Null>,CZSJ,53.0638353,93.3441318,951,0,0,0,0,,,,,33.237,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,3,0,0
73162598,Airport,Unknown,Deer Lake,<Null>,CYVZ,52.654512,94.0594386,1092,0,0,0,0,,,,,43.033,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,4,0,0
73162599,Airport,Unknown,Keewaywin,<Null>,CPV8,52.9908836,92.8355983,988,0,0,0,0,,,,,60.579,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,5,0,0
73162600,Airport,Unknown,North Spirit Lake,<Null>,CKQ3,52.488359,92.9691057,1082,0,0,0,0,,,,,65.602,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,6,0,0
73162601,Airport,Unknown,Poplar Hill,<Null>,CPV7,52.1134537,94.2561419,1095,0,0,0,0,,,,,39.58,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,7,0,0
73162602,Airport,Unknown,Pikangikum,<Null>,CYPM,51.8197766,93.9735087,1114,0,0,0,0,,,,,47.511,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,8,0,0
73162603,Airport,Unknown,Pelee Island,<Null>,CYPT,41.7785937,82.6758797,572,0,0,0,0,,,,,65.809,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,9,0,0
73162604,Hospital Heliport,Unknown,Port Colborne (General Hospital),<Null>,CPX5,42.8793117,79.2567909,575,0,0,0,0,,,,,6.553,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,10,0,0
73162605,Airport,Unknown,Brantford,<Null>,CYFD,43.1317134,80.3417883,815,0,0,0,0,,,,,200.274,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,11,0,0
73162606,Airport,Unknown,Stratford Muni,<Null>,CNM4,43.4168664,80.9341876,1215,0,0,0,0,,,,,191.336,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,12,0,0
73162607,Hospital Heliport,Unknown,Mount Forest (Louise Marshall Hospital),<Null>,CPA2,43.9742741,80.7376404,1365,0,0,0,0,,,,,1.943,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,13,0,0
73162608,Airport,Unknown,Arthur (Walter's Field),<Null>,CPC3,43.8377779,80.4403653,1550,0,0,0,0,,,,,86.646,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,14,0,0
73162609,Airport,Unknown,Orton/Smith Field,<Null>,CPS7,43.7737452,80.229099,1450,0,0,0,0,,,,,120.747,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,15,0,0
73162610,Hospital Heliport,Unknown,Fergus (Groves Memorial Community Hospital),<Null>,CPB2,43.7225123,80.3752988,1411,0,0,0,0,,,,,5.747,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,16,0,0
73162611,Airport,Unknown,Fergus (Juergensen Field),<Null>,CPG7,43.7358428,80.4480857,1450,0,0,0,0,,,,,41.402,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,17,0,0
73162612,Airport,Unknown,Palmerston,<Null>,CPR3,43.8539244,80.7827685,1360,0,0,0,0,,,,,58.808,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,18,0,0
73162613,Hospital Heliport,Unknown,Palmerston (District Hospital),<Null>,CPA3,43.8387188,80.8429653,1300,0,0,0,0,,,,,2.975,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,19,0,0
73162614,Airport,Unknown,Fordwich,<Null>,CPH9,43.8870641,80.9960063,1250,0,0,0,0,,,,,41.663,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,20,0,0
73162615,Airport,Unknown,Listowel,<Null>,CPN5,43.7384849,80.9956652,1232,0,0,0,0,,,,,80.002,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,21,0,0
73162616,Airport,Unknown,Atwood,<Null>,CNN4,43.6936894,81.0021215,1232,0,0,0,0,,,,,38.98,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,22,0,0
73162617,Airport,Unknown,Ethel,<Null>,CPD2,43.7436995,81.1775872,1170,0,0,0,0,,,,,40.684,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,23,0,0
73162618,Airport,Unknown,Atwood/Coghlin,<Null>,CAT1,43.6838167,81.0034072,1215,0,0,0,0,,,,,36.448,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,24,0,0
73162619,Airport,Unknown,Brussels (Armstrong Field),<Null>,CPD4,43.7478444,81.2381168,1100,0,0,0,0,,,,,38.903,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,25,0,0
73162620,Airport,Unknown,Wingham/Richard W. LeVan,<Null>,CPR7,43.8656348,81.3005098,1075,0,0,0,0,,,,,187.179,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,26,0,0
73162622,Airport,Unknown,Goderich,<Null>,CYGD,43.7665623,81.7118904,712,0,0,0,0,,,,,137.698,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,27,0,0
73162623,Airport,Unknown,Sexsmith/Exeter,<Null>,CSX7,43.3759555,81.5057927,856,0,0,0,0,,,,,41.777,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,28,0,0
73162624,Airport,Unknown,Centralia/James T. Field Memorial,<Null>,CYCE,43.2856339,81.5045289,824,0,0,0,0,,,,,261.828,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,29,0,0
73162625,Airport,Unknown,Grand Bend,<Null>,CPL4,43.2902282,81.7161574,642,0,0,0,0,,,,,191.051,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,30,0,0
73162626,Heliport,Unknown,Niagara Falls,<Null>,CPQ3,43.1186709,79.0754327,589,0,0,0,0,,,,,2.517,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,31,0,0
73162627,Hospital Heliport,Unknown,Bowmanville (Memorial Hospital),<Null>,CPL7,43.9092999,78.6779345,328,0,0,0,0,,,,,2.835,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,32,0,0
73162628,Airport,Unknown,Toronto/Oshawa Muni,<Null>,CYOO,43.9224508,78.8956574,459,0,0,0,0,,,,,187.491,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,33,0,0
73162629,Hospital Heliport,Unknown,Port Perry (Community Memorial Hospital),<Null>,CPX6,44.1051889,78.9544476,875,0,0,0,0,,,,,2.556,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,34,0,0
73162630,Hospital Heliport,Unknown,Ajax (Pickering General Hospital),<Null>,CPE2,43.8368582,79.0171647,300,0,0,0,0,,,,,9.804,,Nav Canada,Within 100 metres,,2012/03/28 10:38:05+00,2012/03/29 09:00:55+00,35,0,0
73162631,Airport,Unknown,Greenbank,<Null>,CNP8,44.1348326,79.0133687,975,0,0,0,0,,,,,31.545,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,36,0,0
73162632,Hospital Heliport,Unknown,Uxbridge (Cottage Hospital),<Null>,CNA5,44.102427,79.1288831,900,0,0,0,0,,,,,4.818,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,37,0,0
73162633,Airport,Unknown,Toronto/Markham,<Null>,CNU8,43.9359548,79.2618882,807,0,0,0,0,,,,,36.653,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,38,0,0
73162634,Hospital Heliport,Unknown,Markham Stouffville,<Null>,CPH7,43.8831229,79.2327007,647,0,0,0,0,,,,,17.259,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,39,0,0
73162635,Airport,Unknown,Toronto/Buttonville Municipal,<Null>,CYKZ,43.861155,79.3695416,650,0,0,0,0,,,,,67.406,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,40,0,0
73162636,Airport,Unknown,Baldwin,<Null>,CPB9,44.2693056,79.3414501,750,0,0,0,0,,,,,36.003,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,41,0,0
73162637,Airport,Unknown,Holland Landing Airpark,<Null>,CLA4,44.0887292,79.4947415,855,0,0,0,0,,,,,16.274,,Nav Canada,Within 100 metres,,2012/03/28 10:38:06+00,2012/03/29 09:00:55+00,42,0,0
73162638,Heliport,Unknown,Bolton,<Null>,CNB2,43.8510234,79.6939824,700,0,0,0,0,,,,,12.318,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,43,0,0
